,MAPE,MAPE1,MAE,MAE1,RSME,RMSE1
131,0.089996105,0.091561789,3.544331393,3.63916244,6.807839854,6.961326601
134,0.089996105,0.091561789,3.544331393,3.63916244,6.807839854,6.961326601
149,0.089996105,0.089889503,3.544331393,3.633217679,6.792822822,7.001279957
16,0.082694105,0.082211019,3.426021889,3.471636916,6.265817855,6.375789206
19,0.082694105,0.082211019,3.426021889,3.471636916,6.265817855,6.375789206
22,0.082694105,0.082211019,3.426021889,3.471636916,6.265817855,6.375789206
25,0.082694105,0.081410011,3.426021889,3.412103155,6.265817855,6.263240012
40,0.079541449,0.079344423,3.305121192,3.368231827,6.091398069,6.329353081
43,0.079541449,0.079344423,3.305121192,3.368231827,6.091398069,6.329353081
31,0.081389362,0.079694487,3.305121192,3.33079954,6.091398069,6.131974772
34,0.081389362,0.079694487,3.305121192,3.33079954,6.091398069,6.131974772
37,0.081389362,0.079694487,3.305121192,3.33079954,6.091398069,6.131974772
64,0.077335055,0.077420962,3.112246325,3.309887782,5.78947662,6.158383074
46,0.079541449,0.084248856,3.15875606,3.260207438,6.033504327,6.155444215
49,0.077335055,0.077143709,3.15875606,3.24736029,5.936648098,6.02546309
52,0.077335055,0.08229485,3.142499545,3.223051029,5.936648098,6.119305222
55,0.077335055,0.08229485,3.142499545,3.223051029,5.936648098,6.119305222
58,0.077335055,0.08229485,3.142499545,3.223051029,5.936648098,6.119305222
85,0.074579041,0.075249752,3.042462976,3.180755266,5.782271545,5.960063762
67,0.076283615,0.076818849,3.106345182,3.179711317,5.78947662,6.006895514
61,0.077335055,0.077453203,3.112246325,3.17204671,5.78947662,5.930326105
70,0.074579041,0.074291685,3.106345182,3.160662811,5.78947662,5.948117654
73,0.074579041,0.0785251,3.094416532,3.156026854,5.78947662,6.013336133
94,0.074579041,0.0752439,3.013704869,3.133066446,5.732329526,5.860372439
97,0.074579041,0.0752439,3.013704869,3.133066446,5.732329526,5.860372439
118,0.074433319,0.074401133,2.999350101,3.117774653,5.716505744,5.83719419
76,0.074579041,0.075794412,3.042462976,3.107686479,5.782271545,5.904916528
79,0.074579041,0.075794412,3.042462976,3.107686479,5.782271545,5.904916528
82,0.074579041,0.075794412,3.042462976,3.107686479,5.782271545,5.904916528
103,0.074579041,0.076298295,3.002418539,3.092729918,5.716505744,5.822377707
106,0.074579041,0.076298295,3.002418539,3.092729918,5.716505744,5.822377707
109,0.074579041,0.076298295,3.002418539,3.092729918,5.716505744,5.822377707
91,0.074579041,0.075893045,3.013704869,3.08703202,5.732329526,5.826769595
145,0.074336547,0.074171408,2.999134544,3.085111288,5.687525348,5.836891003
88,0.074579041,0.074783256,3.013704869,3.06352221,5.751306132,5.838620741
100,0.074579041,0.075689144,3.002418539,3.057605381,5.724961,5.82280182
136,0.074433319,0.074371473,2.999134544,3.054883993,5.687525348,5.764196664
139,0.074433319,0.074371473,2.999134544,3.054883993,5.687525348,5.764196664
142,0.074433319,0.074371473,2.999134544,3.054883993,5.687525348,5.764196664
112,0.074579041,0.076117275,2.999350101,3.053906134,5.716505744,5.823998057
115,0.074579041,0.076117275,2.999350101,3.053906134,5.716505744,5.823998057
121,0.074433319,0.075397877,2.999134544,3.053198351,5.716505744,5.807870745
124,0.074433319,0.075397877,2.999134544,3.053198351,5.716505744,5.807870745
127,0.074433319,0.075397877,2.999134544,3.053198351,5.716505744,5.807870745
130,0.074433319,0.075397877,2.999134544,3.053198351,5.716505744,5.807870745
133,0.074433319,0.075397877,2.999134544,3.053198351,5.716505744,5.807870745
148,0.074283904,0.074260699,2.997494474,3.042997252,5.687525348,5.81101141
0,0.070666379,0.068844399,2.967978909,2.944278907,5.142771634,5.126198972
3,0.070666379,0.068844399,2.967978909,2.944278907,5.142771634,5.126198972
6,0.061732474,0.060947513,2.6461876,2.69698563,4.611934091,4.700465726
9,0.061732474,0.060947513,2.6461876,2.69698563,4.611934091,4.700465726
27,0.056428254,0.057266303,2.410925986,2.571133651,4.263806508,4.332191696
12,0.058593441,0.058251871,2.520686761,2.547747237,4.46554846,4.508921352
15,0.056888237,0.056477867,2.415854458,2.438487642,4.276535562,4.336553819
18,0.056888237,0.056477867,2.415854458,2.438487642,4.276535562,4.336553819
21,0.056888237,0.056477867,2.415854458,2.438487642,4.276535562,4.336553819
24,0.056428254,0.055591712,2.410925986,2.411115527,4.276535562,4.30022516
